question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
,,,,,,,,,,
1,21038,Which of the following sets of vectors is linearly dependent?,NA,Easy,Single correct,"\(\{(1,2),(3,4)\}\)","\(\{(1,0,0),(0,1,0),(0,0,1)\}\)","\(\{(1,2,3),(4,5,6),(7,8,9)\}\)","\(\{(1,1,0),(0,1,1),(1,0,1)\}\)",3
2,21038," If a set of vectors contains the zero vectors, then it is always:",NA,Easy,Single correct,Linearly independent, Linearly dependent,Orthogonal ,Unitary,2
3,21038,Which of the following conditions is necessary for a set of vectors to be linearly independent?,NA,Easy,Single correct,The vectors must have the same length, the vectors must be orthogaonal,The vectors must be nonzero,The vectors must be in \(\mathbb{R}^n\),3
4,21038,"If a set of vector is linearly dependent, then:",NA,Easy,Single correct, It must contain zero vectors.,It must contan more vectors than the dimension of the space, It must be orthogonal,It must be unitary,2
5,21038,Which of the following statemens is true for a set of linearly independent vectors?,NA,Easy,Single correct,The vectors must span the space,The vectors must be orthogonal,The vectors must be in \(\mathbb{R}^n\),The vectors must be unique,1
6,21038,The determinant of  a matrix is zero of and only if its columns are:,NA,Easy,Single correct,Orthogonal,Unitary,Linearly independent, Lineraly dependent,4
7,21038,How can you determine if a set of vectors is linearly dependent or independent?How can you determine if a set of vectors is linearly dependent or independent?,NA,Medium,Single correct,By checking if the determinant of the matrix formed by the  vectors is zero.,By solving a system of linear equations.,By row-reducing the matrix formed by the vectors., All of the above  ,4
8,21038,"If a set of vectors is linearly dependent, then any subset of that set 
is also:",NA,Easy,Single correct,Linearly independent,Linearly dependent,Orthogonal ,Unitary ,2
9,21038,"If a set of vectors is linearly independent, then
any superset of that set is also:",NA,Easy,Single correct,Not necessarily linearly independent , Linearly independent, Linearly dependent,Orthogonal,1
10,21038,The rank of a matrix is equal to,NA,Easy,Single correct,The number of rows in the matrix.,The number of columns in the matrix.,The maximum number of linearly independent columns in the matrix,the determinant of the matrix.  ,3
11,21038,Which of the following matrices is orthogonal?,NA,Easy,Single correct,\(\begin{pmatrix} 1 & 0 \\ 0 & 2 \end{pmatrix}\),\(\begin{pmatrix} 1 & 1 \\ 0 & 1 \end{pmatrix}\),\(\begin{pmatrix} \frac{\sqrt{2}}{2} & -\frac{\sqrt{2}}{2} \\ \frac{\sqrt{2}}{2} & \frac{\sqrt{2}}{2} \end{pmatrix}\),\(\begin{pmatrix} 1 & 0 \\ 1 & 1 \end{pmatrix}\),3
12,21038, What is the product of two orthogonal matrices?,NA,Easy,Single correct,Always an orthogonal matrix,Always a diagonal matrix.,Always a singular matrix.,Always an identity matrix ,2
13,21038,What is the inverse of an orthogonal matrix?,NA,Easy,Single correct,Its transpose,Its negative.,"Its cofactor matrix,", Its adjugate matrix,1
14,21038,What is the determinant of an orthogonal matrix?,NA,Easy,Single correct, Always1.,Always-1.,Always 0,Always a positive number.,1
15,21038, What is the trace of an orthogonal matrix? ,NA,Easy,Single correct,Always1.,Always-1.,Always 0,Always a real number.,4
16,21038,What is the relationship between the eigenvalues of an orthogonal matrix?,NA,Easy,Single correct,They are all 1,They are all -1,They have absolute value 1.,They are all real numbers.,3
17,21038,Whatis the relationship between the eigenvectors of an orthogonal matrix?,NA,Easy,Single correct, They are all orthogonal,They are all unit vectors.,They are all linearly independent.,They are all parallel.,1
18,21038,What is the geometric interpretation of an orthogonal matrix?,NA,Easy,Single correct,It represents a rotation or reflection., It represents a scaling, It represents a projection,It represents a shearing,1
19,21038,"Which of the following operations preserves
orthogonality?",NA,Easy,Single correct,Multiplying by a scalar.,Transpose.,Inverse., All of the above.,4
20,21038,What is the rank of a projection matrix?,NA,Easy,Single correct,Always1., Always equal to its dimension,Always less than or equal to its dimension.,Always greater than its dimension,4
21,21038,What is the trace of a projection matrix?,NA,Easy,Single correct,Always1, Always 0,Equal to its rank.,Always equal to its dimension,3
22,21038, What is the determinant of a projection matrix?,NA,Easy,Single correct, Always1., Always 0,Always greater than 0,Always less than or equal to 1,4
23,21038,What is the null space of a projection matrix?,NA,Easy,Single correct,The orthogonal complement of the subspace it projects onto.,The subspace it projects onto.,The entire vector space.,The empty set.,1
24,21038, What is the range of a projection matrix?,NA,Easy,Single correct,The orthogonal complement of the subspace it projects onto.,The subspace it projects onto.,The entire vector space.,The empty set.,2
25,21038,"How can you construct a projection matrix
a subspace spanned by a set of vectors?",NA,Easy,Single correct,By multiplying the vectors by their transpose,By taking the inverse of the matrix formed by the vectors,By multiplying the matrix formed by the vectors by its transpose and then taking the inverse,By multiplying the matrix formed by the vectors by its transpose and then dividing by the  trace.,4
26,21001,"Which of the following matrices is a projection
matrix?",NA,Medium,Single correct,$\begin{bmatrix} 1 & 0 \ 0 & 0 \end{bmatrix}$,$\begin{bmatrix} 1 & 1 \ 0 & 1 \end{bmatrix}$,$\begin{bmatrix} \frac{1}{2} & \frac{1}{2} \ \frac{1}{2} & \frac{1}{2} \end{bmatrix}$,$\begin{bmatrix} 0 & 1 \ 1 & 0 \end{bmatrix}$,1
27,21001,"What is the effect of multiplying a 
vector by a projection matrix?
",NA,Easy,Single correct,It rotates the vector,It reflects the vector,It projects the vector onto the subspace defined by the projection matrix,It scales the vector,3
28,21001,"What is the relationship between projection
matrices and orthogonal matrices?",NA,Medium,Single correct,All projection matrices are orthogonal matrices,All orthogonal matrices are projection matrices,Some projection matrices are orthogonal matrices,"There is no relationship between projection matrices and orthogonal matrices.
",3
29,21001,"What is the relationship between the eigenvalues of a projection matrix?
",NA,Easy,Single correct,They are all 1.,They are all 0.,They are either 1 or 0.,They are all real numbers.,3
30,21001,"What is the relationship between the 
eigenvectors of a projection matrix?
",NA,Medium,Single correct,They form an orthogonal basis for the vector space.,They are all parallel,They are all linearly independent,They are all unit vectors,1
31,21001,"What is the geometric interpretation
 of a projection matrix?",NA,Easy,Single correct,It represents a rotation of the vector space,"It represents a reflection of the vector space.
","It represents a scaling of the vector space.
","It represents a projection onto a subspace.
",4
32,21001,"How can you determine if a matrix
 is a projection matrix?
",NA,Medium,Single correct,By checking if it is square and symmetric,By checking if it is idempotent ($P^2 = P$),By checking if its eigenvalues are 1 or 0.,All of the above.,4
33,21001,"What is the orthogonal complement
 of the projection matrix \( P \)?
",NA,Medium,Single correct,The identity matrix \( I \),The matrix \( P \) itself,The matrix \( I - P \),The zero matrix,3
34,21001,"What is the relationship between
 the projection matrices \( P \) and \( Q \) 
if their product \( PQ = 0 \)?
",NA,Medium,Single correct,Their ranges are orthogonal,Their null spaces are orthogonal, They are inverses of each other,They are equal,1
35,21001,What is the norm of a projection matrix?,NA,Easy,Single correct,Always 1, Always 0,Always less than or equal to 1,Always greater than 1,3
36,21001,"What is the trace of the product of 
two projection matrices \( P \) and \( Q \)?
",NA,Medium,Single correct,"Always equal to the trace of PQ.","Always equal to the trace of P plus the trace of Q.
","Always less than or equal to the trace of P plus the trace of Q.","Always greater than the trace of P plus the trace of Q.
",3
37,21001,"Which of the following is a valid
 way to partition a matrix?
",NA,Easy,Single correct,"Dividing it into sub-matrices 
of equal size.
","Dividing it into sub-matrices 
of different sizes.
","Dividing it along its rows and columns.","All of the above.
",4
38,21001,"What is the size of the partitioned matrix 
\( [A \; | \; B] \)?
",NA,Easy,Single correct,"The sum of the sizes of A and B.
","The product of the sizes of A and B.
","The size of A.","The size of B.",1
39,21001,What is the transpose of the partitioned matrix $[A | B]$?,NA,Easy,Single correct,$\left(A^T|B^T\right)$,"$\left[B^T|A^T\right]$
","$[A|B]^T$
","None of the above.",1
40,21001,"What is the inverse of the partitioned
 matrix $[A | B]$, where $A$ is invertible?",NA,Easy,Single correct,$[A^{-1} | -A^{-1}B]$,"$[A | B]^{-1}$
",$[A^{-1} | B^{-1}]$,None of the above,1
41,21001,"What is the product of the 
partitioned matrices $[A | B]$ and $[C | D]$?",NA,Medium,Single correct,$[AC | BD]$,$[A + C | B + D]$,$[AC + BD | AD + BC]$,None of the above,4
42,21001,"What is the determinant of the
 partitioned matrix $[A | B]$?",NA,Hard,Single correct, $\det(A) \det(B)$,$\det(A) + \det(B)$,$\det(A) - \det(B)$,None of the above,4
43,21001,"What is the rank of the partitioned 
matrix $[A | B]$?",NA,Medium,Single correct,The rank of $A$.,The rank of $B$.,The maximum of the ranks of $A$ and $B$.,None of the above.,4
44,21001,"What is the null space of the partitioned
 matrix  $[A|B]$?
",NA,Medium,Single correct,"The intersection of the null spaces of A and B.","The union of the null spaces of A and B.","The null space of A.","The null space of B.
",3
45,21001,What is the range of the partitioned matrix $[A|B]$?,NA,Medium,Single correct,The union of the ranges of $A$ and $B$,"The intersection of the ranges of $A$ and $B$.
","The range of $A$.
","The range of $B$.
",1
46,21001,"What is a quadratic form?
",NA,Easy,Single correct,"A linear function of a vector.
","A function of a vector represented by a quadratic expression in terms of its elements.","A matrix multiplication involving a vector.
","A determinant of a matrix.",2
47,21001,"How can a quadratic form be
 represented by a matrix?
",NA,Medium,Single correct,By multiplying the vector by its transpose.,"By multiplying the vector by 
its transpose and then multiplying 
by the transpose again.
","By forming a symmetric matrix
 where entries represent coefficients
 of quadratic and cross-product terms.
","By forming a diagonal matrix with 
squares of individual vector elements.
",3
48,21001,"What is the relationship between the
 eigenvalues of the matrix associated 
with a quadratic form and the nature of the form?
",NA,Medium,Single correct,"All positive eigenvalues 
indicate a positive definite form.
","All non-zero eigenvalues
 indicate an indefinite form.
","Positive and negative eigenvalues indicate a negative definite form.","Zero eigenvalues indicate a singular form.",3
49,21001,"What is the geometric interpretation
 of a positive definite quadratic form?
",NA,Medium,Single correct,"It represents a sphere.","It represents a hyperplane.","It represents an ellipsoid.","It represents a parabola.
",3
50,21001,"What is the criterion for a matrix to be positive definite?
",NA,Medium,Single correct,"All its principal minors must be positive.","All its eigenvalues must be positive.","It must be invertible.","It must be symmetric.
",1
51,21028,"How can you determine if a quadratic form is positive definite, negative definite, or indefinite?",NA,Easy,Single correct,By checking the symmetry of the associated matrix.,By analyzing the signs of the principal minors of the associated matrix.,"By calculating the determinant of the associated matrix.
",By plotting the graph of the form.,2
52,21028,What is the relationship between the completion of the square and the diagonalization of a quadratic form?,NA,Easy,Single correct, Both involve eliminating cross product terms.,Completion of the square leads to a diagonalmatrix., Diagonalization requires completing the square.,Both involve adding a constant term.,1
53,21028,What is the Hessian matrix of a scalar field?,NA,Easy,Single correct,The matrix of second-order partial derivatives.,The matrix of firsb-order partial derivatives.,The Jacobian matrix.,The Laplace matrix.,1
54,21028,What is the significance of the eigenvalues of the Hessian matrix in  optimization problems?,NA,Easy,Single correct,They determine the convergence speed of gradient descent algorithms .,"Positive eigenvalues indicate minima,","Negative eigenvalues indicate maxima, and eigenvalues indicate saddle points.",They are always positive for convex functions.,3
55,21028,"How can you solve the equation \( A\mathbf{x} = \lambda \mathbf{x} \), where \( A \) is a symmetric matrix and \( \lambda \) is a scalar, for the eigenvalues and eigenvectors?",NA,Easy,Single correct,By using Gaussian elimination.,By applying LU decomposition.,"By utilizing eigen solvers or spectral
decomposition techniques.",By solving the characteristic equation \(\det(A - \lambda I) = 0\).,3
56,21028,"What is the purpose of projection in computer
graphics?",NA,Easy,Single correct,To create 3D objects,To represent 2D images,To enhance color,To generate shadows,2
57,21028,Which type of projection preserves relative size but not angles?,NA,Easy,Single correct, Orthographic projection,Perspective projection,Isometric projection,Oblique projection,1
58,21028,,,Easy,Single correct,,,,,
59,21028,,,Easy,Single correct,,,,,
60,21028,"Which of the following projections is commonly
used in engineering and technical 
drawings?",NA,Easy,Single correct,Perspective projection,Orthographic projection, Isometric projection,Oblique projection,2
61,21028,What is the purpose of a vanishing point in perspective projection?,NA,Easy,Single correct, Tb create shadow,To represent distant objects,To define the projection plane,To control foreshortening,4
62,21028,,,Easy,Single correct,,,,,
63,21028,Which type of projection is commonly used in video games and computer graphics applications?,NA,Easy,Single correct,Orthographic projection,Perspective projection, Isometric projection, Cabinet projection,2
64,21028,What is the primary drawback of perspective projection?,NA,Easy,Single correct,Distorted angles,Equal scaling,Lack of depth perception,Complexity,1
65,21028,What is  the range of a matrix?,NA,Easy,Single correct,The set of all possible column vectors.,The set of all possible row vectors.,"The set of all possible linear combinations of
its  column vectors.","The set of all possible linear combinations of
its row vectors.",3
66,21028,What is the dimension of the range of a matrix?,NA,Easy,Single correct,The number of rows in the matrix.,"The number of columns in the matrix.
",The rank of the matrix., The determinant of the matrix,3
67,21028,"What is the relationship between the range of a
matrix and its null space?",NA,Easy,Single correct,They are orthogonal complementsofeach other.,They are equal .,They are always disjoint., They have the same dimension,1
68,21028,How can you find the range of a matrix?,NA,Easy,Single correct,By finding the basis for the column space of the matrix.,By finding the basis for the null space of the matrix.,By finding the determinant of the matrix.,By finding the eigenvalues of the matrix,1
69,21028,What is the range of the identity matrix?,NA,Easy,Single correct,The entire vector space.,The zero vector,The set of all unit vectors.,The set of all non-zero vectors.,2
70,21028,What is the range of a zero matrix?,NA,Easy,Single correct,The entire vector space.,The zero vector.,The set of all unit vectors.,The set of all non-zero vectors.,2
71,21028,What is the range of a matrix with linearly independent columns?,NA,Easy,Single correct,The entire vector space.,The zero vector.,The set of all unit vectors., The set of all non-zero vectors.,1
72,21028,What is the range of a matrix with linearly dependent columns?,NA,Easy,Single correct,A subspace of the vector space.,A subspace of the vector space.,The set of all unit vectors., The set of all non-zero vectors.,1
73,21028,What is the relationship between the range of a matrix and its transpose?,NA,Easy,Single correct,The range of the matrix is equal to the range of its transpose.,"The range of the matrix is orthogonal to the
range of its transpose.","The range of the matrix isa subset of the range
of its transpose.","The range of the matrix is a superset of the
range of its transpose.",2
74,21028,What is the relationship between the range of a matrix and its inverse?,NA,Easy,Single correct,The range of the matrix is equal to the range of its inverse.,The range of the matrix is orthogonal to the range of its inverse.,The rangeofthematrix isasubsetofthe range of its inverse,The range of the matrix is a superset of the range of its inverse.,4
75,21028,What is the dimensionof the null spaceofamatrix?,NA,Easy,Single correct,The number of rows in the matrix., The number of columns in the matrix.,The rank of the matrix., The nullity of the matrix.,4
76,21168,How can you find the null space of a matrix?,NA,Easy,Single correct,By finding the basis for the row space of the matrix.,By finding the basis for the column space of the matrix.,By solving the homogeneous equation $A \mathbf{x} = \mathbf{0}$.,By finding the eigenvalues of the matrix.,3
77,21168,What is the relationship between the null space and the column space of a matrix?,NA,Easy,Single correct,They are orthogonal complements of each other.,They are equal.,They are always disjoint.,They have the same dimension.,1
78,21168,What is the null space of the identity matrix?,NA,Easy,Single correct,The entire vector space.,The zero vector.,The set of all unit vectors.,The set of all non-zero vectors.,2
79,21168,What is the null space of a zero matrix?,NA,Easy,Single correct,The entire vector space.,The zero vector.,The set of all unit vectors.,The set of all non-zero vectors.,1
80,21168,What is the null space of a matrix with linearly independent columns?,NA,Easy,Single correct,The entire vector space. ,The zero vector.,The set of all unit vectors.,The set of all non-zero vectors.,2
81,21168, What is the null space of a matrix with linearly dependent columns?,NA,Easy,Single correct, A subspace of the vector space. ,The zero vector.,The set of all unit vectors.,The set of all non-zero vectors.,1
82,21168,What is the relationship between the null spaceof a matrix and its transpose?,NA,Easy,Single correct,The null space of the matrix is equal to the null space of its transpose.,The null space of the matrix is orthogonal to the null space of its transpose.,The null space of the matrix is a subset of the null space of its transpose.,The null space of the matrix is a superset of the null space of its transpose.,2
83,21168, What is the relationship between the nullity and the rank of a matrix?,NA,Easy,Single correct,They are always equal.,They are always proportional.,They add up to the dimension of the vector space.,There is no relationship between them.,3
84,21168, What is the nullity of the identity matrix?,NA,Easy,Single correct,0,1,the dimension of the vector space,Cannot be determined,1
85,21168,What is the nullity of a zero matrix?,NA,Easy,Single correct,0,The dimension of the vector space,1,Cannot be determined,2
86,21168, What is the nullity of a matrix with linearly independent columns?,NA,Easy,Single correct,0,1,The dimension of the vector space ,Cannot be determined,1
87,21168,What is the nullity of a matrix with line dependent columns?,NA,Easy,Single correct,0,1,Greater than or equal to 1,Cannot be determined,3
88,21168,What is the geometric interpretation of the space?,NA,Easy,Single correct,A line passing through the origin.,A plane containing the origin.,"A subspace of the vector space containing origin and 
all vectors that map to the zerovector when multiplied by the matrix ",A point at the origin.,3
89,21168,What is the relationship between the null space of a matrix and its transpose?,NA,Easy,Single correct, They are equal.,They are othogonal complements of each other,They have the same dimension.,There is no relationship between them ,2
90,21168,What is the relationship between the of a matrix  and its inverse?,NA,Easy,Single correct,The null space of a matrix is null space of its inverse.," The null space of a matrix is equal to the nullspace of its inverse, if it exists.",The null space of a matrix is the orthogonal complement of  the null space of its inverse,There is no relationship between them.,3
91,21168,What is the primary goal of Gaussian Elimination linear algebra?,NA,Easy,Single correct,Finding the determinant,Solving systems of linear equations, Matrix inversion,Eigenvalue computation.,2
92,21168,What is the first step in Gaussian Elimination?,NA,Easy,Single correct,Interchanging rows ,Row scaling,Row reduction ,Column swapping,3
93,21168,"In Gaussian Elimination, what is the purpose of row operations?",NA,Easy,Single correct,To swap columns,To create identity matrix,To simplify the system of equations,To compute the eigenvalues,3
94,21168,When is a system of linear equations said to be inconsistent using Gaussian Elimination?,NA,Easy,Single correct,When it has no solution,When it has a unique solution,When it has infinitely many solutions,When it has a determinant of zero,1
95,21168,What does it mean for a matrix to be in reduced row-echelon form (RREF)?,NA,Easy,Single correct, All elements are zero,"All leading entries are 1, and each column containing a  leading 1 has all other entries as zero",The determinant is zero,The matrix is singular,2
96,21168," In Gaussian Elimination, what is the purpose of back-substitution?",NA,Easy,Single correct,To solve for variables from bottom to top,To perform row operations,To find the determinant,To compute eigen vectors ,1
97,21168,What is the significance of the pivot element in Gaussian Elimination?,NA,Easy,Single correct,It is the smallest element in a row,It is the largest element in a column,It is the first non-zero element in a row,It is used to create a zero entry in a column.,3
98,21168,How does Gaussian Elimination handle a row of zeros in the augmented matrix?,NA,Easy,Single correct,It leaves it unchanged,It removes the row of zeros,It swaps the row with another row,It replaces the row with a row having non-zero entries,2
99,21168,"In Gaussian Elimination, when do you perform row scaling?",NA,Easy,Single correct,To create zeros in a column,To make the leading entry equal to 1,To interchange rows,To simplify the system before back-substitution,2
100,21168,What is a system of linear equations?,NA,Easy,Single correct, A set of equations involving constants only.,A set of equations where each equation relates unknown variables linearly.,A set ofequations where all variablesare raised to a power greater than 1.,A set of equations where the variables appear only in the denominators.,2
101,21001,What are the different types of solutions for a system of linear equations?,NA,Easy,Single correct,"Unique solution, no solution, and multiple solutions",Only a unique solution exists.,Either a unique solution or no solution exists.,Any number of solutions can exist,1
102,21001,How can you determine the number of solutions without solving the system?,NA,Medium,Single correct,"By counting the number of equations.
","By comparing the number of equations and variables.
","By checking the rank of the coefficient matrix and the augmented matrix.
",By calculating the determinant of the coefficient matrix.,3
103,21001,What is Gaussian Elimination?,NA,Easy,Single correct,A method for finding the eigenvalues of a matrix.,A technique for solving systems of linear equations by systematically eliminating variables through row operations.,A method for calculating the determinant of a matrix,A method for finding the inverse of a matrix,2
104,21001,What is Cramer's Rule for solving systems of linear equations?,NA,Medium,Single correct,"A rule for finding the inverse of a matrix.
","A formula for expressing each variable in a system as a determinant ratio of specific submatrices.
","A rule for checking the consistency of a system of equations.
","A rule for determining the 
number of solutions to a system.",2
105,21001,"What is the relationship between the inverse of the coefficient matrix and the solution to the system?
",NA,Medium,Single correct,"The solution is the product of the inverse and the augmented matrix.
","The solution is the product of the inverse and the constant vector in the augmented matrix.
","The solution is the product of the inverse and the right-hand side vector in the augmented matrix.
",There is no direct relationship between the inverse and the solution,3
106,21001,"What is the geometric interpretation of a 
system of linear equations in two variables?",NA,Easy,Single correct,A circle.,"A line or a set of parallel lines, depending on the coefficients.",A parabola.,A hyperbola,2
107,21001,"What is the geometric interpretation of a homogeneous
 system of linear equations (all right-hand sides are zero)?
",NA,Medium,Single correct,"There is no geometric interpretation.
","The solution space is the origin or
 a line passing through the origin.
","The solution space is a plane.
",The solution space is the entire space.,2
108,21001,"What are some real-world applications 
of systems of linear equations?",NA,Easy,Single correct,"Circuit analysis.
",Static equilibrium problems in mechanics.,Resource allocation and optimization problems,.All of the above.,4
109,21001,"How can you check if a system of linear equations
 is consistent (has solutions)?  ",NA,Medium,Single correct,By solving the system and seeing if you get a contradiction. , By checking the determinant of the coefficient matrix., By comparing the number of equations and variables. ,By analyzing the signs of the coefficients.,2
110,21001,"What is Singular Value Decomposition (SVD)?
",NA,Easy,Single correct,"A method for finding eigenvalues.
","A factorization of a matrix into three other matrices.
","A technique for solving differential equations.
",A method for computing determinants.,2
111,21001,"In SVD, what are the dimensions of the matrices U,
 $\Sigma$, and V for an $m \times n$ matrix A?
",NA,Medium,Single correct,"U: $m \times m$, $\Sigma$: $m \times n$, V: $n \times n$","U: $m \times n$, $\Sigma$: $n \times n$, V: $n \times n$","U: $m \times m$, $\Sigma$: $m \times n$, V: $n \times m$","U: $m \times n$, $\Sigma$: $m \times n$, V: $n \times m$",4
112,21001,"What is the significance of the diagonal elements in the $\Sigma$ matrix in SVD?
",NA,Medium,Single correct,They represent the eigenvalues of A,They indicate the rank of A.,They are singular values of A.,They contain the pivots of A.,3
113,21001,"How is the matrix A reconstructed from its SVD components?
",NA,Medium,Single correct,A = UV$\Sigma$,A = U$\Sigma$,A = $\Sigma$V,A = UV$^T$,4
114,21001,"In SVD, what does the matrix U represent?",NA,Easy,Single correct,Left singular vectors,"
Singular values","
Right singular vectors",Eigenvalue,1
115,21001,"In the context of SVD, what does the term
 ""singular value"" refer to?
",NA,Easy,Single correct,Diagonal elements of U,Diagonal elements of $\Sigma$,Diagonal elements of V,Elements of the original matrix A,2
116,21001,"What is the relationship between the 
singular values of the matrix A and its eigenvalues?
",NA,Medium,Single correct,They are the same.,"Singular values are square roots of 
eigenvalues
 of $A^T A$ or $AA^T$",Singular values are reciprocals of eigenvalues.,There is no direct relationship.,2
117,21001,"What is the purpose of SVD in data compression?",NA,Medium,Single correct,To increase the size of the data,To reduce the dimensionality of the data,To add noise to the data,To make the data more complex,2
118,21001,"In SVD, if $\Sigma$ has a diagonal element equal to zero, 
what does it imply about the original matrix A?
",NA,Medium,Single correct,A is a square matrix,A is a singular matrix.,A is full rank.,A has linearly dependent columns.,2
119,21001,,,Easy,Single correct,,,,,
120,21001,What are the singular values of a matrix?,NA,Hard,Single correct,The eigenvalues of the matrix.,The square roots of the eigenvalues of the matrix.,The non-negative square roots of the eigenvalues of $A^T A$ or $AA^T$,The diagonal elements of the matrix,3
121,21001,"What is the rank of a matrix in terms of its singular values?
",NA,Medium,Single correct,The number of non-zero elements in the matrix.,The number of rows in the matrix.,The number of columns in the matrix.,The number of non-zero singular values.,4
122,21001,"What is the relationship between the singular values
 and the eigenvalues of a square matrix?
",NA,Medium,Single correct,They are always equal,They are always proportional,"They are the same, but only for symmetric matrices",There is no relationship between them,3
123,21001,"What is the pseudo-inverse of a matrix?",NA,Medium,Single correct,"The inverse of a matrix, if it exists.",A generalized inverse that can be computed for any matrix using SVD.,The transpose of a matrix.,The negative of a matrix.,2
124,21001,"What is the condition number of a matrix?
",NA,Hard,Single correct,The rank of the matrix.,The determinant of the matrix.,"The ratio of the largest to smallest singular value, indicating sensitivity to numerical errors.
",The trace of the matrix.,3
125,21001,"What is the low-rank approximation of a matrix using SVD?",NA,Medium,Single correct,Keeping only the largest eigenvalues of the matrix.,"Keeping only the largest singular values and their corresponding columns in U and V.
",Setting the smallest singular values to zero.,Truncating the matrix to a smaller size.,2
